Bevölkerung in den Gemeinden Tirols nach Altersgruppen, Staatsangehörigkeit, Geburtsland und Migrationshintergrund;;;;;;;;;;;
Population in the municipalities of Tyrol by age, nationality, country of birth and migration background;;;;;;;;;;;
NUTS3;DISTRICT_CODE;NAME;AGE_GRP;POP_TOTAL;POP_AUT_NATIONALITY;POP_FOR_NATIONALITY;POP_AUT_BORN;POP_FOR_BORN;POP_NOM_BACKGROUND;POP_MIG_BACKGROUND;YEAR
AT332;70101;Innsbruck;0_15;16021;13665;2356;14860;1161;13259;2762;2010
AT332;70101;Innsbruck;16_25;16808;13262;3546;12658;4150;12344;4464;2010
AT332;70101;Innsbruck;26_45;36585;27867;8718;25234;11351;24797;11788;2010
AT332;70101;Innsbruck;46_65;29937;25829;4108;23247;6690;23083;6854;2010
AT332;70101;Innsbruck;65_00;20796;19727;1069;16740;4056;16681;4115;2010
AT334;70201;Arzl im Pitztal;0_15;542;523;19;529;13;518;24;2010
AT334;70201;Arzl im Pitztal;16_25;417;399;18;393;24;390;27;2010
AT334;70201;Arzl im Pitztal;26_45;920;840;80;807;113;803;117;2010
AT334;70201;Arzl im Pitztal;46_65;701;646;55;628;73;627;74;2010
AT334;70201;Arzl im Pitztal;65_00;389;377;12;360;29;360;29;2010
AT334;70202;Haiming;0_15;849;802;47;824;25;790;59;2010
AT334;70202;Haiming;16_25;570;533;37;516;54;510;60;2010
AT334;70202;Haiming;26_45;1322;1192;130;1137;185;1134;188;2010
AT334;70202;Haiming;46_65;1046;986;60;952;94;948;98;2010
AT334;70202;Haiming;65_00;562;550;12;499;63;498;64;2010
AT334;70203;Imst;0_15;1753;1555;198;1669;84;1530;223;2010
AT334;70203;Imst;16_25;1286;1146;140;1092;194;1069;217;2010
AT334;70203;Imst;26_45;2847;2416;431;2212;635;2199;648;2010
AT334;70203;Imst;46_65;2334;2071;263;1922;412;1913;421;2010
AT334;70203;Imst;65_00;1274;1226;48;1091;183;1085;189;2010
AT334;70204;Imsterberg;0_15;136;135;1;133;3;133;3;2010
AT334;70204;Imsterberg;16_25;110;110;0;108;2;108;2;2010
AT334;70204;Imsterberg;26_45;221;212;9;209;12;209;12;2010
AT334;70204;Imsterberg;46_65;184;181;3;182;2;181;3;2010
AT334;70204;Imsterberg;65_00;102;101;1;98;4;98;4;2010
AT334;70205;Jerzens;0_15;183;170;13;171;12;167;16;2010
AT334;70205;Jerzens;16_25;141;125;16;125;16;125;16;2010
AT334;70205;Jerzens;26_45;320;244;76;245;75;243;77;2010
AT334;70205;Jerzens;46_65;260;234;26;231;29;230;30;2010
AT334;70205;Jerzens;65_00;122;120;2;117;5;117;5;2010
AT334;70206;Karres;0_15;106;105;1;105;1;105;1;2010
AT334;70206;Karres;16_25;75;75;0;75;0;75;0;2010
AT334;70206;Karres;26_45;200;195;5;192;8;192;8;2010
AT334;70206;Karres;46_65;131;127;4;125;6;125;6;2010
AT334;70206;Karres;65_00;94;94;0;91;3;91;3;2010
AT334;70207;Karrösten;0_15;98;95;3;96;2;95;3;2010
AT334;70207;Karrösten;16_25;98;98;0;97;1;97;1;2010
AT334;70207;Karrösten;26_45;192;180;12;180;12;180;12;2010
AT334;70207;Karrösten;46_65;203;198;5;193;10;193;10;2010
AT334;70207;Karrösten;65_00;89;85;4;80;9;80;9;2010
AT334;70208;Längenfeld;0_15;867;816;51;843;24;807;60;2010
AT334;70208;Längenfeld;16_25;711;645;66;630;81;628;83;2010
AT334;70208;Längenfeld;26_45;1344;1195;149;1179;165;1177;167;2010
AT334;70208;Längenfeld;46_65;1002;926;76;907;95;904;98;2010
AT334;70208;Längenfeld;65_00;455;440;15;420;35;418;37;2010
AT334;70209;Mieming;0_15;669;622;47;641;28;620;49;2010
AT334;70209;Mieming;16_25;393;352;41;339;54;336;57;2010
AT334;70209;Mieming;26_45;1082;965;117;940;142;935;147;2010
AT334;70209;Mieming;46_65;846;765;81;739;107;737;109;2010
AT334;70209;Mieming;65_00;455;422;33;375;80;373;82;2010
AT334;70210;Mils bei Imst;0_15;108;105;3;105;3;103;5;2010
AT334;70210;Mils bei Imst;16_25;90;88;2;85;5;85;5;2010
AT334;70210;Mils bei Imst;26_45;160;153;7;151;9;150;10;2010
AT334;70210;Mils bei Imst;46_65;131;127;4;123;8;123;8;2010
AT334;70210;Mils bei Imst;65_00;64;63;1;63;1;63;1;2010
AT334;70211;Mötz;0_15;229;207;22;217;12;206;23;2010
AT334;70211;Mötz;16_25;176;154;22;152;24;147;29;2010
AT334;70211;Mötz;26_45;352;297;55;287;65;286;66;2010
AT334;70211;Mötz;46_65;321;294;27;285;36;285;36;2010
AT334;70211;Mötz;65_00;158;148;10;139;19;139;19;2010
AT334;70212;Nassereith;0_15;362;337;25;352;10;334;28;2010
AT334;70212;Nassereith;16_25;258;243;15;239;19;239;19;2010
